Hours Since Start of Run	 Livingston	 Hanford	 Virgo

0	1	1	0
1	1	1	0
2	1	1	0
3	1	1	0
4	1	0	1
5	1	1	1
6	1	1	1
7	1	1	1
8	1	1	0
9	1	1	0
10	1	1	0
11	1	1	0
12	1	1	0
13	1	1	0
14	1	1	0
15	1	1	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0

24	1	1	1
25	1	1	1
26	1	1	1
27	1	1	1
28	1	1	1
29	1	0	1
30	1	0	1
31	1	0	0
32	1	1	0
33	0	1	0
34	1	0	0
35	1	1	0
36	1	0	0
37	1	1	0
38	0	1	0
39	0	0	1
40	0	0	1
41	0	0	1
42	0	0	1
43	1	0	1
44	1	0	1
45	1	0	1
46	0	0	1
47	0	0	1

48	0	0	1
49	0	0	0
50	1	1	1
51	1	1	1
52	1	1	1
53	1	1	1
54	1	1	1
55	1	0	1
56	0	0	1
57	1	0	1
58	1	1	1
59	1	1	1
60	1	1	1
61	1	1	1
62	1	1	1
63	1	1	1
64	0	1	1
65	0	0	1
66	1	0	1
67	1	1	1
68	1	0	1
69	0	0	1
70	1	0	1
71	1	1	1

72	1	1	1
73	1	0	1
74	1	0	1
75	1	0	1
76	1	1	1
77	1	1	1
78	1	1	1
79	1	1	1
80	1	1	1
81	1	1	1
82	1	1	1
83	1	1	0
84	1	1	1
85	1	1	0
86	1	1	0
87	1	1	0
88	0	1	1
89	0	1	1
90	0	1	1
91	0	1	1
92	1	0	0
93	1	0	1
94	1	1	1
95	1	1	1

96	1	1	1
97	1	1	1
98	1	1	1
99	1	1	1
100	1	1	1
101	1	1	1
102	1	0	1
103	0	0	1
104	0	0	0
105	0	0	0
106	0	0	0
107	0	0	0
108	0	0	0
109	0	0	0
110	0	0	0
111	0	0	0
112	0	0	0
113	0	0	0
114	0	0	0
115	0	0	0
116	0	0	0
117	0	0	0
118	0	0	0
119	0	0	0

120	1	0	1
121	1	1	1
122	1	1	1
123	1	1	1
124	1	0	1
125	1	1	1
126	1	1	1
127	1	1	1
128	1	1	1
129	1	1	1
130	1	1	1
131	1	1	1
132	1	1	1
133	1	1	1
134	1	1	1
135	0	1	1
136	0	1	1
137	0	1	0
138	0	1	0
139	1	1	0
140	1	1	1
141	1	0	1
142	0	0	1
143	0	0	1

144	0	0	1
145	0	1	1
146	0	1	1
147	0	1	1
148	0	1	1
149	1	1	1
150	1	1	1
151	1	1	1
152	1	1	1
153	1	1	1
154	1	1	1
155	1	1	1
156	1	1	1
157	1	1	1
158	1	1	1
159	1	1	1
160	1	0	1
161	1	1	1
162	1	1	1
163	1	0	1
164	0	1	1
165	0	1	1
166	0	1	1
167	0	1	1

168	1	1	1
169	0	1	1
170	1	1	1
171	1	1	1
172	1	1	1
173	1	1	1
174	1	1	1
175	1	1	1
176	1	1	1
177	1	1	1
178	1	1	1
179	1	1	1
180	1	1	1
181	1	1	1
182	1	1	1
183	1	1	1
184	1	1	1
185	1	1	1
186	1	1	1
187	1	0	1
188	0	0	1
189	1	1	1
190	0	1	1
191	0	1	1

192	0	1	1
193	1	1	1
194	1	1	1
195	1	1	1
196	1	1	1
197	1	1	1
198	1	1	1
199	1	1	0
200	1	1	0
201	1	1	0
202	1	1	0
203	1	1	1
204	1	1	1
205	1	1	1
206	0	1	1
207	0	0	1
208	0	0	1
209	0	0	1
210	0	0	1
211	0	0	0
212	0	0	1
213	0	0	1
214	0	0	1
215	1	0	1

216	0	0	1
217	0	0	1
218	1	0	1
219	1	0	1
220	1	0	1
221	1	0	1
222	1	0	1
223	1	0	1
224	1	1	1
225	1	1	1
226	1	1	1
227	1	1	1
228	1	0	1
229	1	0	1
230	1	1	1
231	1	0	1
232	1	0	1
233	1	0	1
234	0	0	1
235	1	1	1
236	0	0	1
237	0	0	1
238	0	1	1
239	0	0	1

240	0	1	1
241	0	0	1
242	0	1	1
243	0	0	1
244	1	1	1
245	1	1	1
246	1	1	1
247	1	1	1
248	1	1	1
249	1	0	0
250	0	1	1
251	0	1	1
252	0	1	1
253	1	1	1
254	1	1	1
255	0	1	1
256	0	1	1
257	0	1	1
258	0	1	1
259	0	0	1
260	0	0	1
261	0	0	1
262	0	0	1
263	0	0	1

264	1	1	1
265	1	1	1
266	1	1	1
267	1	1	1
268	1	1	1
269	1	1	1
270	1	0	1
271	1	1	1
272	1	1	1
273	1	1	1
274	1	1	1
275	1	1	1
276	1	1	1
277	0	0	0
278	0	0	1
279	0	0	1
280	0	0	1
281	0	0	1
282	0	1	1
283	1	0	1
284	1	1	1
285	1	1	1
286	1	0	1
287	1	0	1

288	1	0	1
289	1	1	1
290	1	1	1
291	1	1	1
292	1	1	1
293	1	1	1
294	1	1	1
295	1	1	1
296	1	1	1
297	1	1	1
298	1	1	1
299	1	1	1
300	0	1	1
301	1	1	1
302	1	1	1
303	1	1	1
304	1	1	1
305	0	0	1
306	1	1	1
307	1	1	1
308	0	1	1
309	0	1	1
310	0	1	1
311	0	1	1

312	0	0	1
313	0	0	1
314	0	0	1
315	0	1	1
316	0	1	1
317	0	0	1
318	0	0	1
319	0	0	1
320	0	1	1
321	0	1	1
322	0	1	1
323	0	1	1
324	0	1	1
325	0	1	1
326	0	1	1
327	0	0	1
328	0	0	1
329	0	1	1
330	0	1	1
331	0	1	1
332	0	1	1
333	0	1	1
334	0	1	1
335	0	1	1

336	0	0	1
337	0	1	1
338	0	1	1
339	0	1	1
340	0	1	1
341	0	1	1
342	0	0	1
343	0	0	1
344	0	1	1
345	0	1	1
346	0	1	1
347	0	1	1
348	0	1	1
349	0	1	1
350	0	1	1
351	0	1	0
352	0	1	1
353	0	1	1
354	0	1	1
355	0	1	1
356	1	1	1
357	1	1	1
358	0	0	1
359	0	0	1

360	0	0	1
361	0	0	1
362	1	0	1
363	1	0	1
364	1	0	1
365	1	0	1
366	1	0	0
367	1	1	0
368	1	1	0
369	1	1	0
370	1	1	0
371	1	1	0
372	1	1	0
373	1	1	0
374	0	1	0
375	0	0	0
376	0	0	1
377	0	0	1
378	0	0	1
379	0	0	1
380	0	0	1
381	0	1	1
382	0	1	1
383	1	0	1

384	1	0	1
385	1	1	1
386	1	1	1
387	1	0	1
388	1	0	1
389	1	0	1
390	1	1	1
391	1	1	1
392	1	1	1
393	1	1	1
394	1	1	1
395	1	1	1
396	1	1	1
397	1	1	1
398	1	1	1
399	1	1	0
400	1	1	0
401	1	1	0
402	1	1	0
403	1	1	0
404	0	0	1
405	0	0	1
406	0	0	1
407	0	0	1

408	0	0	1
409	0	0	1
410	1	0	1
411	1	0	1
412	1	1	1
413	1	0	1
414	0	0	0
415	0	0	1
416	0	0	1
417	1	0	1
418	1	0	1
419	1	1	1
420	1	1	1
421	1	1	1
422	1	1	1
423	1	1	1
424	1	0	1
425	0	0	0
426	0	0	1
427	0	0	1
428	0	0	1
429	0	0	1
430	0	0	1
431	0	0	1

432	0	0	1
433	1	0	1
434	1	1	1
435	1	1	1
436	1	1	1
437	1	1	1
438	1	1	1
439	0	1	1
440	0	1	1
441	0	1	1
442	0	1	1
443	0	1	1
444	0	1	0
445	0	1	0
446	0	1	1
447	0	1	1
448	0	1	1
449	0	1	1
450	1	1	0
451	1	1	1
452	1	1	1
453	1	1	1
454	1	0	1
455	1	0	1

456	1	0	0
457	1	0	1
458	1	1	1
459	0	1	1
460	0	1	1
461	1	1	1
462	1	1	1
463	1	1	1
464	1	1	1
465	1	0	1
466	1	1	1
467	1	1	0
468	1	1	1
469	1	1	1
470	1	1	1
471	0	1	1
472	0	1	1
473	0	1	1
474	0	1	1
475	0	0	1
476	1	1	1
477	1	1	1
478	1	1	1
479	1	0	1

480	1	0	1
481	1	1	1
482	1	1	1
483	1	1	1
484	1	1	1
485	1	1	1
486	1	1	1
487	1	1	1
488	1	1	1
489	1	1	1
490	1	1	1
491	1	1	1
492	1	1	1
493	1	1	1
494	1	1	1
495	1	1	1
496	1	1	1
497	1	1	1
498	1	1	1
499	1	1	1
500	1	1	1
501	1	1	1
502	1	0	1
503	1	1	1

504	0	0	1
505	0	0	1
506	1	0	1
507	1	0	1
508	1	1	1
509	1	1	1
510	1	1	1
511	1	1	0
512	1	1	1
513	1	1	1
514	1	1	1
515	0	1	1
516	0	1	1
517	1	1	1
518	1	1	1
519	0	1	1
520	1	1	1
521	1	1	1
522	0	1	1
523	1	0	1
524	1	0	1
525	0	0	1
526	0	0	1
527	0	0	1

528	0	0	1
529	1	0	1
530	1	0	1
531	0	0	1
532	0	0	1
533	1	0	1
534	1	0	0
535	0	1	0
536	0	1	0
537	1	1	0
538	1	1	0
539	1	1	1
540	1	1	1
541	1	1	1
542	0	1	1
543	0	0	1
544	0	0	1
545	0	0	1
546	0	0	1
547	1	0	1
548	1	0	1
549	1	0	1
550	0	0	1
551	0	0	0

552	0	0	0
553	0	0	0
554	0	1	0
555	1	1	0
556	1	0	1
557	1	0	1
558	1	0	1
559	1	1	1
560	1	1	1
561	1	1	1
562	1	1	1
563	1	1	1
564	1	0	1
565	1	0	1
566	1	1	1
567	1	1	0
568	1	1	0
569	1	0	0
570	1	0	0
571	1	0	1
572	0	0	1
573	0	0	1
574	0	0	1
575	1	0	1

576	1	0	1
577	1	0	1
578	1	1	1
579	1	1	1
580	1	1	1
581	1	1	1
582	1	1	1
583	1	1	1
584	1	0	1
585	1	0	1
586	1	1	1
587	1	1	1
588	1	1	1
589	1	1	1
590	1	1	1
591	1	1	1
592	1	1	1
593	1	1	1
594	1	0	1
595	1	0	1
596	0	0	1
597	1	0	1
598	1	0	1
599	1	1	1

600	1	1	0
601	1	1	1
602	1	0	1
603	1	1	1
604	1	1	1
605	1	1	1
606	1	1	1
607	1	1	0
608	1	1	1
609	1	1	0
610	1	1	0
611	1	1	1
612	1	1	1
613	1	1	0
614	1	1	0
615	1	1	1
616	1	1	1
617	1	0	1
618	1	1	1
619	1	1	1
620	1	0	1
621	1	1	1
622	1	1	1
623	1	0	1

624	1	0	1
625	1	1	1
626	1	1	1
627	1	1	1
628	1	1	1
629	1	1	1
630	1	1	1
631	1	1	1
632	1	1	1
633	1	1	1
634	1	1	1
635	1	1	1
636	1	1	1
637	1	1	1
